"_id","author_details","title","isbn","publisher","date_published","rating","bookshelf_id","bookshelf","read","series_details","pages","notes","list_price","anthology","location","read_start","read_end","format","signed","loaned_to","anthology_titles","description","genre","language","date_added","goodreads_book_id","last_goodreads_sync_date","last_update_date","book_uuid",
"10","Hertzberger, Herman","Přednášky Pro Studenty Architektury","9788090506404","Mox Nox","2012","0","1,","Default,","0","","287","","","0","","","","","false","","","","","","2017-12-17 16:40:56","0","0000-00-00","2017-12-17 21:39:51","c3514686376f25cff275b400b49954b5",
"11","Solove, Daniel J.","Nothing to Hide","9780300172331","Yale University Press","2013","0","1,","Default,","0","","245","","","0","","","","","0","","","""If you've got nothing to hide,"" many people say, ""you shouldn't worry about government surveillance."" Others argue that we must sacrifice privacy for security. But as Daniel J. Solove argues in this important book, these arguments and many others are flawed. They are based on mistaken views about what it means to protect privacy and the costs and benefits of doing so. The debate between privacy and security has been framed incorrectly as a zero-sum game in which we are forced to choose between one value and the other. Why can't we have both?  In this concise and accessible book, Solove exposes the fallacies of many pro-security arguments that have skewed law and policy to favor security at the expense of privacy. Protecting privacy isn't fatal to security measures; it merely involves adequate oversight and regulation. Solove traces the history of the privacy-security debate from the Revolution to the present day. He explains how the law protects privacy and examines concerns with new technologies. He then points out the failings of our current system and offers specific remedies. Nothing to Hide makes a powerful and compelling case for reaching a better balance between privacy and security and reveals why doing so is essential to protect our freedom and democracy.","Social Science / Popular Culture","","2017-12-17 16:42:13","0","0000-00-00","2017-12-17 21:39:53","8098bb4b8104244f9730ba6d6a21f26c",
"12","Helvert, Marjanne Van","Responsible Object, The","9789492095190","Valiz","2017-02-28","0","1,","Default,","0","","288","","","0","","","","","0","","","Within the design discipline, calls for sustainability and social responsibility have become some of the most common rallying cries of the past decade, generating countless new products, materials and technologies--all designed to change the course of our future. Adjectives like ""sustainable,"" ""green"" and ""eco"" describe this new wave of socially committed design. But though today's conditions are urgent and particular, the ideologies behind these new products are often not totally new, but rather a part of design history. Contemporary sustainable design is just the newest chapter of a story that stretches back throughout the previous centuries. The Responsible Object presents a selected history of socially committed design strategies within the Western design tradition of roughly the last 150 years, from William Morris to Victor Papanek, and from VKhUTEMAS to FabLab. It includes about 20 interstitial mini-posters with slogans from the text, printed on different colored papers.","Design / Essays","","2017-12-17 16:42:36","0","0000-00-00","2017-12-17 21:39:55","e92f819761453e7fd92d178ae4806eb6",
"13","Schneier, Bruce","Data And Goliath","9780393352177","","","0","1,","Default,","0","","","","","0","","","","","0","","","","","","2017-12-17 16:44:25","0","0000-00-00","2017-12-17 21:39:57","a3ecc752f6e88583e55dbf34019af678",
"14","Pater, Ruben","Politics Of Design, The","9789063694227","Bis B.v., Uitgeverij (Bis Publishers)","2016-04","0","1,","Default,","0","","192","","","0","","","","","0","","","The Politics of Designshows the importance of visual literacy when communicating across borders and cultures. It explores the cultural meaning behind symbols, maps, photography, typography, and colors. It is a practical guide for design and communication professionals and students to create more effective and responsible visual communication.  We all know the power of propaganda and how it's always strictly related to a memory of a specific symbol, typography and colour. It has a purpose and normally remains a classic design to be parodied years later by a new generation of designers. But visual literacy is still a strong weapon nowadays, it's all about context. This book can be used as a manual filled with realities alerts a designer should be aware so that he doesn't end up in misconceptions of cultural differences and actually make this asymmetries work in his favour. It will result in a stronger, fundamental response to the inevitability of being partial when dealing with images in the midst of globalization. Misinformation and the terrible consequences it may cause, may it be on purpose or not, is always a piece of vital information away. This is the right book to fill that void, to build bridges between different perspectives on the meaning behind some characters, images and even the order and position they are presented in.","","","2017-12-17 16:44:44","0","0000-00-00","2017-12-17 21:39:59","2727126b637116559fb3a292a257136d",
"15","Bonneuil, Christophe|Fressoz, Jean-Baptiste","Shock Of the Anthropocene, The","9781784780791","Verso","2016","0","1,","Default,","0","","306","","","0","","","","","0","","","Dissecting the new theoretical buzzword of the ""Anthropocene""  The Earth has entered a new epoch: the Anthropocene. What we are facing is not only an environmental crisis, but a geological revolution of human origin. In two centuries, our planet has tipped into a state unknown for millions of years.  How did we get to this point? Refuting the convenient view of a ""human species"" that upset the Earth system, unaware of what it was doing, this book proposes the first critical history of the Anthropocene, shaking up many accepted ideas: about our supposedly recent ""environmental awareness,"" about previous challenges to industrialism, about the manufacture of ignorance and consumerism, about so-called energy transitions, as well as about the role of the military in environmental destruction. In a dialogue between science and history, The Shock of the Anthropocene dissects a new theoretical buzzword and explores paths for living and acting politically in this rapidly developing geological epoch.","SOCIAL SCIENCE / Human Geography","","2017-12-17 16:45:06","0","0000-00-00","2017-12-17 21:40:01","361b57593c8e8de3fe38012a5f211aba",
"16","Metahaven, ","Can Jokes Bring Down Governments?","9780992914684","","","0","1,","Default,","0","","","","","0","","","","","0","","","","","","2017-12-17 16:46:54","0","0000-00-00","2017-12-17 21:40:03","d0852136c59b5a837711d05f58b96882",
"17","Strauss, Carolyn","Slow Reader","9789492095015","Valiz","2017-02-28","0","1,","Default,","0","","256","","","0","","","","","0","","","Slow Readercollects theoretical reflections and practical perspectives from writers, designers, architects, artists and environmental activists that aspire toward a holistic vision of human activity. Contributors include Yochai Benkler, Maria Blaisse, Chet Bowers, Olafur Eliasson, Eric Ellingsen, Emilio Fantin, Fernando Garcia-Dory, Lotte van Gelder, Jeanne van Heeswijk, the nanopolitics group, Jogi Panghaal, Eva Pfannes (Ooze Architects), Ann Pendleton-Jullian, Alessandra Pomarico, Marjetica Potr�c, Julian Raxworthy, Uzma Rizvi, Niels Schrader and Christina Werner. Positioned as a ""resource for design thinking and practice,"" this book challenges the paths through which contemporary designers conventionally operate and the values of speed and efficiency that dominate discourse. Slow Readeris intended to inspire readers well beyond the design field, serving as a vehicle for reflection, imagination and further investigation of ""slower"" approaches to living.","Design / Essays","","2017-12-17 16:47:09","0","0000-00-00","2017-12-17 21:40:05","9d177ba4fd8fe7fcca5ff14ff4a844ea",
"18","Hochuli, Jost","Detail in Typography","9780907259343","Hyphen Press","2008-08-01","0","1,","Default,","0","","74","","","0","","","","","0","","","How is it that text can be set perfectly and yet look insufferably dull? How do you achieve perfect congruence between the type itself and its meaning? In Detail in Typography Jost Hochuli, master book designer and author of the seminal Designing Books, addresses the finer points of setting text. Hochuli begins with a consideration of how human beings read, moving on incrementally to considerations of letter, word, and line as well as word-space and line-space. Hochuli concludes by examining whole paragraphs and how they carry meaning. Produced in Switzerland to the highest standards, Detail in Typography embodies critical thinking and articulate design in its own physical form.","Art / Typography","","2017-12-17 16:47:30","0","0000-00-00","2017-12-17 21:40:08","92e9f8fee8f45fc7dad2922be582ab99",
"19","Bratton, Benjamin H.","Stack, The","9780262029575","Mit Press","2016-02-19","0","1,","Default,","0","","523","","","0","","","","","0","","","What has planetary-scale computation done to our geopolitical realities? It takes different forms at different scales -- from energy and mineral sourcing and subterranean cloud infrastructure to urban software and massive universal addressing systems; from interfaces drawn by the augmentation of the hand and eye to users identified by self -- quantification and the arrival of legions of sensors, algorithms, and robots. Together, how do these distort and deform modern political geographies and produce new territories in their own image?In The Stack, Benjamin Bratton proposes that these different genres of computation -- smart grids, cloud platforms, mobile apps, smart cities, the Internet of Things, automation -- can be seen not as so many species evolving on their own, but as forming a coherent whole: an accidental megastructure called The Stack that is both a computational apparatus and a new governing architecture. We are inside The Stack and it is inside of us. In an account that is both theoretical and technical, drawing on political philosophy, architectural theory, and software studies, Bratton explores six layers of The Stack: Earth, Cloud, City, Address, Interface, User. Each is mapped on its own terms and understood as a component within the larger whole built from hard and soft systems intermingling -- not only computational forms but also social, human, and physical forces. This model, informed by the logic of the multilayered structure of protocol ""stacks,"" in which network technologies operate within a modular and vertical order, offers a comprehensive image of our emerging infrastructure and a platform for its ongoing reinvention. The Stack is an interdisciplinary design brief for a new geopolitics that works with and for planetary-scale computation. Interweaving the continental, urban, and perceptual scales, it shows how we can better build, dwell within, communicate with, and govern our worlds.thestack.org","Philosophy / Political","","2017-12-17 16:47:51","0","0000-00-00","2017-12-17 21:40:10","30de3ed7381dfb1494c162180f2ae635",
